datetime,option_type,strike_relative,iv,oi,strike,spot,open,high,low,close,volume,timestamp
2025-04-17 11:09:00,CE,ATM+3,34.815702,6684225,23550.0,23423.6,20.5,26.6,20.5,26.6,2940150,1744868340
2025-04-17 11:10:00,CE,ATM+3,35.522482,11500875,23600.0,23428.85,16.4,20.3,15.95,18.15,3391725,1744868400
2025-04-17 11:11:00,CE,ATM+3,36.594283,6684225,23550.0,23424.85,28.85,31.3,25.65,29.65,2140650,1744868460
2025-04-17 11:12:00,CE,ATM+3,38.172939,11220375,23600.0,23426.65,19.7,23.75,18.95,21.25,3116850,1744868520
2025-04-17 11:13:00,CE,ATM+3,37.588658,11220375,23600.0,23426.3,21.5,23.85,19.4,20.25,2419425,1744868580
2025-04-17 11:14:00,CE,ATM+3,43.287981,11220375,23600.0,23440.1,20.55,31.75,19.75,31.75,4189650,1744868640
2025-04-17 11:15:00,CE,ATM+3,43.118289,10568700,23600.0,23456.05,30.25,36.05,27.6,35.35,3573975,1744868700
2025-04-17 11:16:00,CE,ATM+3,45.189582,10568700,23600.0,23472.35,35.5,46.7,33.15,43.35,5528250,1744868760
2025-04-17 11:17:00,CE,ATM+3,44.185221,4364400,23650.0,23478.15,29.05,31.65,26.3,30.1,1843200,1744868820
2025-04-17 11:18:00,CE,ATM+3,44.033621,9647625,23600.0,23474.45,43.15,43.15,38.5,41.6,1943775,1744868880
2025-04-17 11:19:00,CE,ATM+3,42.711811,4053300,23650.0,23482.35,28.9,31.15,27.1,28.5,1275075,1744868940
2025-04-17 11:20:00,CE,ATM+3,40.546769,9647625,23600.0,23473.25,41.55,43.5,34.0,34.9,2677350,1744869000
2025-04-17 11:21:00,CE,ATM+3,40.79728,4222050,23650.0,23477.9,23.5,25.5,21.9,24.4,1458150,1744869060
2025-04-17 11:22:00,CE,ATM+3,38.985527,9605550,23600.0,23473.1,36.1,36.95,30.5,31.95,2209275,1744869120
2025-04-17 11:23:00,CE,ATM+3,40.742615,4222050,23650.0,23480.4,21.1,25.25,19.85,24.6,1643850,1744869180
2025-04-17 11:24:00,CE,ATM+3,40.546761,4313325,23650.0,23480.2,24.8,25.35,23.1,24.15,965850,1744869240
2025-04-17 11:25:00,CE,ATM+3,42.42793,4313325,23650.0,23481.1,22.95,28.5,22.85,27.0,1412775,1744869300
2025-04-17 11:26:00,CE,ATM+3,41.949931,4313325,23650.0,23492.85,27.7,30.8,24.65,28.8,2011575,1744869360
2025-04-17 11:27:00,CE,ATM+3,42.341909,4385625,23650.0,23505.85,29.15,33.7,26.3,32.45,1838550,1744869420
2025-04-17 11:28:00,CE,ATM+3,43.448969,4385625,23650.0,23508.7,31.4,36.95,28.2,34.85,2156925,1744869480
2025-04-17 11:29:00,CE,ATM+3,44.825605,4385625,23650.0,23512.1,35.55,40.9,34.45,37.9,2110950,1744869540
2025-04-17 11:30:00,CE,ATM+3,47.309396,4162425,23650.0,23520.9,37.15,44.5,36.95,44.5,2127600,1744869600
2025-04-17 11:31:00,CE,ATM+3,47.682024,7555275,23700.0,23539.25,30.15,36.4,26.7,36.4,3167475,1744869660
2025-04-17 11:32:00,CE,ATM+3,45.62632,7555275,23700.0,23533.35,37.4,39.15,31.1,31.55,3217200,1744869720
2025-04-17 11:33:00,CE,ATM+3,45.984565,7322100,23700.0,23543.15,32.15,36.9,32.15,34.35,2148225,1744869780
2025-04-17 11:34:00,CE,ATM+3,43.395013,7322100,23700.0,23538.3,34.35,34.85,28.85,29.0,1862700,1744869840
2025-04-17 11:35:00,CE,ATM+3,43.49183,7322100,23700.0,23540.85,29.5,31.7,29.0,29.6,1386300,1744869900
2025-04-17 11:36:00,CE,ATM+3,45.721737,7286175,23700.0,23571.7,30.15,42.4,30.15,41.15,3192375,1744869960
2025-04-17 11:37:00,CE,ATM+3,43.461574,7286175,23700.0,23557.85,40.75,42.9,33.15,33.45,2865525,1744870020
2025-04-17 11:38:00,CE,ATM+3,44.462968,7286175,23700.0,23560.65,32.5,36.25,32.5,35.65,1381200,1744870080
2025-04-17 11:39:00,CE,ATM+3,43.689058,7630800,23700.0,23558.0,35.5,36.35,32.35,33.55,1149750,1744870140
2025-04-17 11:40:00,CE,ATM+3,44.322988,7630800,23700.0,23560.05,33.5,34.95,29.55,34.95,1730250,1744870200
2025-04-17 11:41:00,CE,ATM+3,47.890547,7630800,23700.0,23570.6,34.55,43.65,32.9,43.65,2112300,1744870260
2025-04-17 11:42:00,CE,ATM+3,47.491541,7180650,23700.0,23568.9,42.05,52.95,40.85,42.3,3705975,1744870320
2025-04-17 11:43:00,CE,ATM+3,47.338197,4468125,23750.0,23604.65,27.15,39.55,26.85,38.05,2019975,1744870380
2025-04-17 11:44:00,CE,ATM+3,45.139838,4468125,23750.0,23596.5,38.1,42.0,32.3,32.3,2813775,1744870440
2025-04-17 11:45:00,CE,ATM+3,42.885052,4299225,23750.0,23587.25,33.25,33.25,26.2,26.6,1909200,1744870500
2025-04-17 11:46:00,CE,ATM+3,43.992802,4299225,23750.0,23592.55,27.85,30.85,27.15,29.3,1068525,1744870560
2025-04-17 11:47:00,CE,ATM+3,46.646565,4299225,23750.0,23598.05,29.5,36.6,29.5,34.55,1526025,1744870620
2025-04-17 11:48:00,CE,ATM+3,46.075567,4426575,23750.0,23598.25,35.2,35.6,31.8,33.55,1071825,1744870680
2025-04-17 11:49:00,CE,ATM+3,46.126572,4426575,23750.0,23600.55,33.8,34.15,32.45,34.05,704850,1744870740
2025-04-17 11:50:00,CE,ATM+3,44.360698,4426575,23750.0,23605.85,33.85,34.75,29.3,32.5,1332300,1744870800
2025-04-17 11:51:00,CE,ATM+3,42.104805,4532325,23750.0,23619.1,34.4,39.9,28.2,32.25,3176025,1744870860
2025-04-17 11:52:00,CE,ATM+3,40.332112,4532325,23750.0,23613.3,32.3,33.6,27.5,27.9,1594500,1744870920
2025-04-17 11:53:00,CE,ATM+3,41.534948,4532325,23750.0,23610.35,27.95,31.25,27.25,28.85,1130025,1744870980
2025-04-17 11:54:00,CE,ATM+3,38.960765,4848900,23750.0,23600.25,28.35,28.55,22.65,22.65,1864425,1744871040
2025-04-17 11:55:00,CE,ATM+3,39.548307,8252400,23700.0,23573.7,36.35,36.9,24.3,28.75,4700925,1744871100
